id,timestamp,symbol,expiry,strike,option_type,oi,oi_change,volume,iv,last_price,spot_price
56449,2026-05-05 03:30:01,NIFTY,2026-05-19,26500.0,PE,0,,0,33.1,2527.7,23951.85
56450,2026-05-05 03:30:01,NIFTY,2026-05-19,26500.0,CE,48555,,25480,20.58,2.4,23951.85
56451,2026-05-05 03:30:01,NIFTY,2026-05-12,25000.0,PE,250900,,257530,,841.1,23951.85
56452,2026-05-05 03:30:01,NIFTY,2026-05-12,23300.0,CE,13195,,11765,37.75,905.85,23951.85
56453,2026-05-05 03:30:01,NIFTY,2026-05-12,23250.0,PE,172120,,1023750,17.93,29.75,23951.85
56454,2026-05-05 03:30:01,NIFTY,2026-05-12,25000.0,CE,2992275,,11284325,21.8,28.45,23951.85
56455,2026-05-05 03:30:01,NIFTY,2026-05-12,23250.0,CE,1105,,3250,36.3,925.45,23951.85
56456,2026-05-05 03:30:01,NIFTY,2026-05-12,24950.0,PE,455,,0,,882.9,23951.85
56457,2026-05-05 03:30:01,NIFTY,2026-05-12,24950.0,CE,187070,,1141010,21.97,33.75,23951.85
56458,2026-05-05 03:30:01,NIFTY,2026-05-12,26350.0,CE,10010,,24180,26.3,1.4,23951.85
56459,2026-05-05 03:30:01,NIFTY,2026-05-12,23350.0,CE,1690,,455,29.45,779.55,23951.85
56460,2026-05-05 03:30:01,NIFTY,2026-05-12,26300.0,PE,65,,0,,2110.45,23951.85
56461,2026-05-05 03:30:01,NIFTY,2026-05-12,26300.0,CE,30615,,222820,25.93,1.45,23951.85
56462,2026-05-05 03:30:01,NIFTY,2026-05-12,23300.0,PE,915720,,5248035,17.7,34.05,23951.85
56463,2026-05-05 03:30:01,NIFTY,2026-05-12,23200.0,PE,1856335,,5646355,18.27,26.55,23951.85
56464,2026-05-05 03:30:01,NIFTY,2026-05-12,24900.0,PE,27625,,21710,1.15,759.75,23951.85
56465,2026-05-05 03:30:01,NIFTY,2026-05-12,24900.0,CE,1081795,,4003220,22.02,39.05,23951.85
56466,2026-05-05 03:30:01,NIFTY,2026-05-12,24850.0,PE,1495,,4290,1.25,709.0,23951.85
56467,2026-05-05 03:30:01,NIFTY,2026-05-19,24350.0,PE,11310,,19825,11.9,432.2,23951.85
56468,2026-05-05 03:30:01,NIFTY,2026-05-19,24350.0,CE,10140,,28535,22.2,271.15,23951.85
56469,2026-05-05 03:30:01,NIFTY,2026-05-19,24400.0,PE,44785,,51545,10.54,449.75,23951.85
56470,2026-05-05 03:30:01,NIFTY,2026-05-19,24400.0,CE,53755,,133835,21.95,248.8,23951.85
56471,2026-05-05 03:30:01,NIFTY,2026-05-19,24450.0,PE,5265,,11960,9.0,471.0,23951.85
56472,2026-05-05 03:30:01,NIFTY,2026-05-19,24450.0,CE,13065,,27300,21.6,226.05,23951.85
56473,2026-05-05 03:30:01,NIFTY,2026-05-12,23200.0,CE,20930,,22165,39.41,995.05,23951.85
56474,2026-05-05 03:30:01,NIFTY,2026-05-12,24850.0,CE,190125,,1292850,22.26,46.35,23951.85
56475,2026-05-05 03:30:01,NIFTY,2026-05-12,24800.0,PE,97240,,156715,2.56,670.8,23951.85
56476,2026-05-05 03:30:01,NIFTY,2026-05-12,24800.0,CE,1379495,,5750420,22.31,53.1,23951.85
56477,2026-05-05 03:30:01,NIFTY,2026-05-12,26250.0,PE,0,,0,114.77,2971.0,23951.85
56478,2026-05-05 03:30:01,NIFTY,2026-05-12,26250.0,CE,45370,,136890,25.45,1.45,23951.85
56479,2026-05-05 03:30:01,NIFTY,2026-05-12,26200.0,PE,0,,0,113.73,2921.8,23951.85
56480,2026-05-05 03:30:01,NIFTY,2026-05-12,24750.0,PE,6435,,13325,,627.65,23951.85
56481,2026-05-05 03:30:01,NIFTY,2026-05-12,26200.0,CE,150150,,727870,24.98,1.45,23951.85
56482,2026-05-05 03:30:01,NIFTY,2026-05-12,24750.0,CE,223015,,1431690,22.56,62.2,23951.85
56483,2026-05-05 03:30:01,NIFTY,2026-05-19,24500.0,CE,247260,,588055,21.47,207.95,23951.85
56484,2026-05-05 03:30:01,NIFTY,2026-05-19,24500.0,PE,60775,,114465,8.18,506.45,23951.85
56485,2026-05-05 03:30:01,NIFTY,2026-05-19,24550.0,CE,10530,,25025,21.16,187.9,23951.85
56486,2026-05-05 03:30:01,NIFTY,2026-05-19,24550.0,PE,3185,,1365,5.54,539.0,23951.85
56487,2026-05-05 03:30:01,NIFTY,2026-05-12,26150.0,CE,36920,,169520,24.77,1.6,23951.85
56488,2026-05-05 03:30:01,NIFTY,2026-05-12,26100.0,PE,780,,650,,1925.0,23951.85
56489,2026-05-05 03:30:01,NIFTY,2026-05-12,26100.0,CE,122655,,563095,24.37,1.65,23951.85
56490,2026-05-05 03:30:01,NIFTY,2026-05-12,24700.0,PE,40885,,84045,,594.95,23951.85
56491,2026-05-05 03:30:01,NIFTY,2026-05-12,24700.0,CE,1078935,,6518980,22.71,71.55,23951.85
56492,2026-05-05 03:30:01,NIFTY,2026-05-12,26150.0,PE,0,,0,112.69,2872.65,23951.85
56493,2026-05-05 03:30:01,NIFTY,2026-05-12,26050.0,PE,0,,0,110.59,2774.55,23951.85
56494,2026-05-05 03:30:01,NIFTY,2026-05-12,26050.0,CE,161005,,477035,24.05,1.75,23951.85
56495,2026-05-05 03:30:01,NIFTY,2026-05-12,26000.0,PE,55510,,58825,,1810.95,23951.85
56496,2026-05-05 03:30:01,NIFTY,2026-05-12,24650.0,PE,5785,,15340,,550.45,23951.85
56497,2026-05-05 03:30:01,NIFTY,2026-05-12,26000.0,CE,4559425,,8568690,23.71,1.85,23951.85
56498,2026-05-05 03:30:01,NIFTY,2026-05-19,22750.0,CE,0,,0,24.5,1331.55,23951.85
56499,2026-05-05 03:30:01,NIFTY,2026-05-19,24600.0,PE,9100,,14040,,570.85,23951.85
56500,2026-05-05 03:30:01,NIFTY,2026-05-19,24600.0,CE,47060,,137930,21.08,172.65,23951.85
56501,2026-05-05 03:30:01,NIFTY,2026-05-19,22800.0,CE,0,,0,24.7,1290.75,23951.85
56502,2026-05-05 03:30:01,NIFTY,2026-05-19,24650.0,PE,455,,975,6.91,640.05,23951.85
56503,2026-05-05 03:30:01,NIFTY,2026-05-19,22750.0,PE,715,,845,19.47,31.5,23951.85
56504,2026-05-05 03:30:01,NIFTY,2026-05-19,24650.0,CE,14885,,45045,20.79,155.0,23951.85
56505,2026-05-05 03:30:01,NIFTY,2026-05-19,22850.0,CE,0,,0,24.88,1250.45,23951.85
56506,2026-05-05 03:30:01,NIFTY,2026-05-19,24700.0,PE,3315,,4680,,650.0,23951.85
56507,2026-05-05 03:30:01,NIFTY,2026-05-19,22800.0,PE,58175,,128180,19.46,35.7,23951.85
56508,2026-05-05 03:30:01,NIFTY,2026-05-19,24700.0,CE,90155,,164320,20.63,140.3,23951.85
56509,2026-05-05 03:30:01,NIFTY,2026-05-19,22900.0,CE,0,,0,25.05,1210.75,23951.85
56510,2026-05-05 03:30:01,NIFTY,2026-05-19,24750.0,PE,65,,0,,718.5,23951.85
56511,2026-05-05 03:30:01,NIFTY,2026-05-19,24750.0,CE,10205,,28080,20.42,125.9,23951.85
56512,2026-05-05 03:30:01,NIFTY,2026-05-19,22850.0,PE,1820,,2600,19.01,37.0,23951.85
56513,2026-05-05 03:30:01,NIFTY,2026-05-19,22950.0,CE,0,,0,25.19,1171.55,23951.85
56514,2026-05-05 03:30:01,NIFTY,2026-05-19,24800.0,PE,3705,,2080,,712.85,23951.85
56515,2026-05-05 03:30:01,NIFTY,2026-05-19,24800.0,CE,94835,,216970,20.3,113.7,23951.85
56516,2026-05-05 03:30:01,NIFTY,2026-05-19,22900.0,PE,83525,,161525,18.87,40.85,23951.85
56517,2026-05-05 03:30:01,NIFTY,2026-05-19,22950.0,PE,2860,,715,18.99,47.3,23951.85
56518,2026-05-05 03:30:01,NIFTY,2026-05-12,24550.0,CE,251290,,2278250,23.53,109.25,23951.85
56519,2026-05-05 03:30:01,NIFTY,2026-05-12,25950.0,PE,0,,0,108.49,2676.7,23951.85
56520,2026-05-05 03:30:01,NIFTY,2026-05-12,24650.0,CE,305565,,2672150,23.02,83.25,23951.85
56521,2026-05-05 03:30:01,NIFTY,2026-05-12,24600.0,PE,58305,,136240,,515.75,23951.85
56522,2026-05-05 03:30:01,NIFTY,2026-05-12,25950.0,CE,779675,,2091375,23.06,1.75,23951.85
56523,2026-05-05 03:30:01,NIFTY,2026-05-12,24600.0,CE,1635010,,7218770,23.15,94.5,23951.85
56524,2026-05-05 03:30:01,NIFTY,2026-05-12,25900.0,PE,0,,0,107.43,2627.9,23951.85
56525,2026-05-05 03:30:01,NIFTY,2026-05-12,24550.0,PE,11375,,34580,,479.75,23951.85
56526,2026-05-05 03:30:01,NIFTY,2026-05-12,25900.0,CE,974740,,2836990,22.64,1.8,23951.85
56527,2026-05-05 03:30:01,NIFTY,2026-05-19,23000.0,PE,349765,,787605,18.61,49.85,23951.85
56528,2026-05-05 03:30:01,NIFTY,2026-05-19,23000.0,CE,5200,,1755,32.31,1228.2,23951.85
56529,2026-05-05 03:30:01,NIFTY,2026-05-19,23050.0,PE,9295,,4095,18.65,56.6,23951.85
56530,2026-05-05 03:30:01,NIFTY,2026-05-19,23050.0,CE,65,,0,30.52,1165.1,23951.85
56531,2026-05-05 03:30:01,NIFTY,2026-05-19,23100.0,PE,36725,,104585,18.18,58.9,23951.85
56532,2026-05-05 03:30:01,NIFTY,2026-05-19,23100.0,CE,65,,130,36.77,1224.7,23951.85
56533,2026-05-05 03:30:01,NIFTY,2026-05-19,23150.0,PE,8905,,14495,17.89,63.25,23951.85
56534,2026-05-05 03:30:01,NIFTY,2026-05-19,23150.0,CE,65,,0,33.93,1145.1,23951.85
56535,2026-05-05 03:30:01,NIFTY,2026-05-12,25850.0,PE,0,,0,106.38,2579.2,23951.85
56536,2026-05-05 03:30:01,NIFTY,2026-05-12,25850.0,CE,325520,,869115,22.49,2.05,23951.85
56537,2026-05-05 03:30:01,NIFTY,2026-05-12,25800.0,PE,65,,0,32.34,1840.0,23951.85
56538,2026-05-05 03:30:01,NIFTY,2026-05-12,25800.0,CE,1175265,,3094325,22.35,2.35,23951.85
56539,2026-05-05 03:30:01,NIFTY,2026-05-19,23200.0,CE,910,,0,28.47,1025.0,23951.85
56540,2026-05-05 03:30:01,NIFTY,2026-05-19,23250.0,CE,65,,0,33.1,1063.2,23951.85
56541,2026-05-05 03:30:01,NIFTY,2026-05-19,23200.0,PE,53105,,92560,17.89,71.15,23951.85
56542,2026-05-05 03:30:01,NIFTY,2026-05-19,23300.0,CE,1430,,1430,30.1,980.55,23951.85
56543,2026-05-05 03:30:01,NIFTY,2026-05-19,23250.0,PE,17420,,27950,17.61,76.55,23951.85
56544,2026-05-05 03:30:01,NIFTY,2026-05-19,23300.0,PE,49140,,144365,17.42,83.6,23951.85
56545,2026-05-05 03:30:01,NIFTY,2026-05-19,24850.0,PE,65,,0,,780.4,23951.85
56546,2026-05-05 03:30:01,NIFTY,2026-05-19,24850.0,CE,12220,,58825,19.99,100.0,23951.85
56547,2026-05-05 03:30:01,NIFTY,2026-05-12,25750.0,PE,195,,0,,1751.4,23951.85
56548,2026-05-05 03:30:01,NIFTY,2026-05-12,25750.0,CE,230165,,547235,22.17,2.65,23951.85
56549,2026-05-05 03:30:01,NIFTY,2026-05-12,25700.0,PE,195,,0,35.48,1760.0,23951.85
56550,2026-05-05 03:30:01,NIFTY,2026-05-19,24900.0,CE,45175,,145665,19.88,89.75,23951.85
56551,2026-05-05 03:30:01,NIFTY,2026-05-19,24950.0,CE,26585,,46150,19.82,80.8,23951.85
56552,2026-05-05 03:30:01,NIFTY,2026-05-19,24900.0,PE,130,,0,12.61,905.0,23951.85
56553,2026-05-05 03:30:01,NIFTY,2026-05-19,24950.0,PE,65,,0,16.39,980.5,23951.85
56554,2026-05-05 03:30:01,NIFTY,2026-05-19,25000.0,CE,371475,,955890,19.61,70.95,23951.85
56555,2026-05-05 03:30:01,NIFTY,2026-05-19,25050.0,CE,14495,,37115,19.53,63.3,23951.85
56556,2026-05-05 03:30:01,NIFTY,2026-05-19,25000.0,PE,28730,,28860,,859.65,23951.85
56557,2026-05-05 03:30:01,NIFTY,2026-05-19,25050.0,PE,65,,0,,942.8,23951.85
56558,2026-05-05 03:30:01,NIFTY,2026-05-12,23000.0,PE,2366325,,8130655,19.36,16.1,23951.85
56559,2026-05-05 03:30:01,NIFTY,2026-05-12,23000.0,CE,81835,,74750,43.34,1182.8,23951.85
56560,2026-05-05 03:30:01,NIFTY,2026-05-12,22950.0,PE,129545,,650455,19.54,13.9,23951.85
56561,2026-05-05 03:30:01,NIFTY,2026-05-12,22950.0,CE,260,,130,53.07,1321.6,23951.85
56562,2026-05-05 03:30:01,NIFTY,2026-05-12,23100.0,PE,920465,,3221920,18.83,20.75,23951.85
56563,2026-05-05 03:30:01,NIFTY,2026-05-12,23100.0,CE,3835,,4095,41.23,1087.05,23951.85
56564,2026-05-05 03:30:01,NIFTY,2026-05-12,23050.0,PE,119925,,568880,19.08,18.2,23951.85
56565,2026-05-05 03:30:01,NIFTY,2026-05-12,23050.0,CE,780,,0,33.79,1052.1,23951.85
56566,2026-05-05 03:30:01,NIFTY,2026-05-12,23150.0,PE,116675,,587535,18.55,23.45,23951.85
56567,2026-05-05 03:30:01,NIFTY,2026-05-12,23150.0,CE,650,,780,40.09,1038.5,23951.85
56568,2026-05-05 03:30:01,NIFTY,2026-05-19,25100.0,PE,325,,0,,1051.0,23951.85
56569,2026-05-05 03:30:01,NIFTY,2026-05-19,25100.0,CE,78455,,165425,19.35,55.4,23951.85
56570,2026-05-05 03:30:01,NIFTY,2026-05-19,25150.0,PE,65,,0,,1026.15,23951.85
56571,2026-05-05 03:30:01,NIFTY,2026-05-19,25150.0,CE,18395,,37505,19.28,49.1,23951.85
56572,2026-05-05 03:30:01,NIFTY,2026-05-19,25200.0,PE,65,,0,,1082.8,23951.85
56573,2026-05-05 03:30:01,NIFTY,2026-05-19,25200.0,CE,138645,,383240,19.01,41.8,23951.85
56574,2026-05-05 03:30:01,NIFTY,2026-05-19,23350.0,CE,650,,715,27.78,908.75,23951.85
56575,2026-05-05 03:30:01,NIFTY,2026-05-19,25250.0,PE,130,,0,,1160.0,23951.85
56576,2026-05-05 03:30:01,NIFTY,2026-05-19,25250.0,CE,10790,,23270,18.75,35.35,23951.85
56577,2026-05-05 03:30:01,NIFTY,2026-05-19,23400.0,CE,2535,,0,17.09,710.15,23951.85
56578,2026-05-05 03:30:01,NIFTY,2026-05-19,25300.0,PE,65,,65,,1155.8,23951.85
56579,2026-05-05 03:30:01,NIFTY,2026-05-19,25300.0,CE,64480,,109395,18.84,32.05,23951.85
56580,2026-05-05 03:30:01,NIFTY,2026-05-19,23350.0,PE,8255,,10465,17.31,92.25,23951.85
56581,2026-05-05 03:30:01,NIFTY,2026-05-19,23400.0,PE,25025,,72150,17.14,100.75,23951.85
56582,2026-05-05 03:30:01,NIFTY,2026-05-12,22750.0,CE,195,,260,54.98,1487.1,23951.85
56583,2026-05-05 03:30:01,NIFTY,2026-05-12,22700.0,PE,584870,,1920100,21.2,8.15,23951.85
56584,2026-05-05 03:30:01,NIFTY,2026-05-12,22700.0,CE,975,,1040,46.59,1445.0,23951.85
56585,2026-05-05 03:30:01,NIFTY,2026-05-12,22850.0,CE,130,,65,43.7,1300.75,23951.85
56586,2026-05-05 03:30:01,NIFTY,2026-05-12,22800.0,PE,1423500,,3937960,20.42,9.75,23951.85
56587,2026-05-05 03:30:01,NIFTY,2026-05-12,22800.0,CE,8840,,8125,46.42,1365.1,23951.85
56588,2026-05-05 03:30:01,NIFTY,2026-05-12,22750.0,PE,202540,,737165,20.83,8.95,23951.85
56589,2026-05-05 03:30:01,NIFTY,2026-05-12,22900.0,PE,687115,,2889575,19.86,12.4,23951.85
56590,2026-05-05 03:30:01,NIFTY,2026-05-12,22900.0,CE,1170,,1300,44.56,1270.45,23951.85
56591,2026-05-05 03:30:01,NIFTY,2026-05-12,22850.0,PE,408850,,1295710,20.09,10.85,23951.85
56592,2026-05-05 03:30:01,NIFTY,2026-05-19,25350.0,CE,10465,,15535,19.11,30.3,23951.85
56593,2026-05-05 03:30:01,NIFTY,2026-05-19,25400.0,CE,40690,,59605,18.66,24.2,23951.85
56594,2026-05-05 03:30:01,NIFTY,2026-05-19,25350.0,PE,65,,65,,1200.85,23951.85
56595,2026-05-05 03:30:01,NIFTY,2026-05-19,25450.0,CE,15015,,5850,18.6,21.0,23951.85
56596,2026-05-05 03:30:01,NIFTY,2026-05-19,23450.0,PE,9945,,24245,16.99,110.35,23951.85
56597,2026-05-05 03:30:01,NIFTY,2026-05-19,23450.0,CE,1560,,0,40.02,1053.55,23951.85
56598,2026-05-05 03:30:01,NIFTY,2026-05-19,25400.0,PE,130,,0,,1300.0,23951.85
56599,2026-05-05 03:30:01,NIFTY,2026-05-19,25500.0,CE,202670,,360620,18.79,19.45,23951.85
56600,2026-05-05 03:30:01,NIFTY,2026-05-19,23500.0,PE,161200,,434070,16.71,118.8,23951.85
56601,2026-05-05 03:30:01,NIFTY,2026-05-19,25450.0,PE,65,,65,,1292.8,23951.85
56602,2026-05-05 03:30:01,NIFTY,2026-05-19,23500.0,CE,4745,,6500,27.53,804.9,23951.85
56603,2026-05-05 03:30:01,NIFTY,2026-05-19,23550.0,PE,10335,,21515,16.92,135.65,23951.85
56604,2026-05-05 03:30:01,NIFTY,2026-05-19,25550.0,CE,9880,,15470,18.5,15.8,23951.85
56605,2026-05-05 03:30:01,NIFTY,2026-05-19,23550.0,CE,2340,,0,36.28,927.4,23951.85
56606,2026-05-05 03:30:01,NIFTY,2026-05-19,25500.0,PE,65,,0,,1370.0,23951.85
56607,2026-05-05 03:30:01,NIFTY,2026-05-19,23600.0,PE,34320,,94640,16.33,140.95,23951.85
56608,2026-05-05 03:30:01,NIFTY,2026-05-19,23600.0,CE,3575,,2665,26.48,723.55,23951.85
56609,2026-05-05 03:30:01,NIFTY,2026-05-19,25550.0,PE,0,,0,30.23,1645.4,23951.85
56610,2026-05-05 03:30:01,NIFTY,2026-05-12,24450.0,PE,22555,,119275,,411.05,23951.85
56611,2026-05-05 03:30:01,NIFTY,2026-05-12,24450.0,CE,173550,,1113515,24.06,140.25,23951.85
56612,2026-05-05 03:30:01,NIFTY,2026-05-12,22600.0,PE,343395,,1602055,21.99,6.9,23951.85
56613,2026-05-05 03:30:01,NIFTY,2026-05-12,24500.0,PE,400205,,1200030,,443.05,23951.85
56614,2026-05-05 03:30:01,NIFTY,2026-05-12,22600.0,CE,390,,520,51.37,1567.05,23951.85
56615,2026-05-05 03:30:01,NIFTY,2026-05-12,24500.0,CE,2576340,,12915175,23.78,124.0,23951.85
56616,2026-05-05 03:30:01,NIFTY,2026-05-12,22650.0,PE,93730,,444470,21.58,7.45,23951.85
56617,2026-05-05 03:30:01,NIFTY,2026-05-12,22650.0,CE,65,,130,58.86,1600.6,23951.85
